id,bank_name,city,state,cert,acquiring_institution,closing_date,fund
339,"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,2010-05-28,10244
340,Bank of Florida - Tampa,Tampa,FL,57814,EverBank,2010-05-28,10243
341,Bank of Florida - Southwest,Naples,FL,35106,EverBank,2010-05-28,10242
342,Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,2010-05-28,10241
343,Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,2010-05-21,10240
344,Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",2010-05-14,10236
345,Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,2010-05-14,10239
346,New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,2010-05-14,10237
347,Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,2010-05-14,10238
348,1st Pacific Bank of California,San Diego,CA,35517,City National Bank,2010-05-07,10232
349,Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,2010-05-07,10235
350,Access Bank,Champlin,MN,16476,PrinsBank,2010-05-07,10233
351,The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,2010-05-07,10234
352,Frontier Bank,Everett,WA,22710,"Union Bank, N.A.",2010-04-30,10228
353,BC National Banks,Butler,MO,17792,Community First Bank,2010-04-30,10225
354,Champion Bank,Creve Coeur,MO,58362,BankLiberty,2010-04-30,10227
355,CF Bancorp,Port Huron,MI,30005,First Michigan Bank,2010-04-30,10226
356,Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,2010-04-30,10231
357,R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,2010-04-30,10230
358,Eurobank,San Juan,PR,27150,Oriental Bank and Trust,2010-04-30,10229
359,Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,2010-04-23,10224
360,Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,2010-04-23,10223
361,Lincoln Park Savings Bank,Chicago,IL,30600,Northbrook Bank & Trust Company,2010-04-23,10221
362,New Century Bank,Chicago,IL,34821,"MB Financial Bank, N.A.",2010-04-23,10222
363,Citizens Bank and Trust Company of Chicago,Chicago,IL,34658,Republic Bank of Chicago,2010-04-23,10220
364,Broadway Bank,Chicago,IL,22853,"MB Financial Bank, N.A.",2010-04-23,10219
365,"Amcore Bank, National Association",Rockford,IL,3735,Harris N.A.,2010-04-23,10218
366,City Bank,Lynnwood,WA,21521,Whidbey Island Bank,2010-04-16,10212
367,Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",2010-04-16,10217
368,Innovative Bank,Oakland,CA,23876,Center Bank,2010-04-16,10214
369,Butler Bank,Lowell,MA,26619,People's United Bank,2010-04-16,10211
370,Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",2010-04-16,10216
371,AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",2010-04-16,10210
372,First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",2010-04-16,10213
373,Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,2010-04-16,10215
